Timestamp,Open,High,Low,Close,Volume
01/02/15 04:00,1.20562,1.20612,1.2045,1.20506,9602
01/02/15 08:00,1.20506,1.20686,1.20335,1.20569,46746
01/02/15 12:00,1.20568,1.20572,1.20246,1.20298,37441
01/02/15 16:00,1.20298,1.20325,1.20027,1.20087,52590
01/02/15 20:00,1.20087,1.20145,1.19992,1.20006,13034
01/05/15 00:00,1.19381,1.19751,1.18616,1.19536,46824
01/05/15 04:00,1.19537,1.19643,1.19249,1.1934,26382
01/05/15 08:00,1.1934,1.19751,1.19298,1.19533,51355
01/05/15 12:00,1.19533,1.1956,1.1886,1.19118,62543
01/05/15 16:00,1.1912,1.19404,1.19076,1.1922,52448
01/05/15 20:00,1.19221,1.19485,1.19136,1.19314,16007
01/06/15 00:00,1.19318,1.19452,1.19258,1.19398,15369
01/06/15 04:00,1.19398,1.19572,1.19394,1.1956,18511
01/06/15 08:00,1.19561,1.19676,1.19039,1.19068,50484
01/06/15 12:00,1.19069,1.19184,1.1883,1.19065,57409
01/06/15 16:00,1.19064,1.19576,1.18862,1.19212,76277
01/06/15 20:00,1.19213,1.19353,1.1885,1.1888,31238
01/07/15 00:00,1.18883,1.18898,1.18395,1.18759,25876
01/07/15 04:00,1.18759,1.18792,1.18655,1.18773,19353
01/07/15 08:00,1.18773,1.18954,1.18507,1.18528,61755
01/07/15 12:00,1.18525,1.1875,1.18174,1.18289,84389
01/07/15 16:00,1.1829,1.18344,1.18009,1.18282,61596
01/07/15 20:00,1.18282,1.18578,1.18068,1.18383,41861
01/08/15 00:00,1.18383,1.18463,1.18242,1.18246,17471
01/08/15 04:00,1.18247,1.18303,1.18158,1.182,18422
01/08/15 08:00,1.182,1.18231,1.1779,1.17804,46304
01/08/15 12:00,1.17803,1.17877,1.1753,1.17864,58897
01/08/15 16:00,1.17862,1.18182,1.17706,1.18159,61963
01/08/15 20:00,1.18157,1.1816,1.17791,1.17883,18780
01/09/15 00:00,1.17918,1.181,1.17855,1.17999,20520
01/09/15 04:00,1.17999,1.18139,1.17986,1.18093,22373
01/09/15 08:00,1.18092,1.1819,1.17838,1.18146,42711
01/09/15 12:00,1.18149,1.18312,1.17613,1.17866,71859
01/09/15 16:00,1.17865,1.18437,1.17717,1.18292,90592
01/09/15 20:00,1.18291,1.1845,1.1829,1.18347,18679
01/12/15 00:00,1.18488,1.18689,1.18419,1.18558,17097
01/12/15 04:00,1.18558,1.18618,1.18442,1.18604,19837
01/12/15 08:00,1.18606,1.18698,1.1804,1.18122,49289
01/12/15 12:00,1.18121,1.1825,1.17849,1.18226,49498
01/12/15 16:00,1.18226,1.18437,1.18077,1.18248,57026
01/12/15 20:00,1.18248,1.1845,1.18243,1.18321,16281
01/13/15 00:00,1.18321,1.18471,1.1822,1.1843,19639
01/13/15 04:00,1.18431,1.18584,1.18224,1.18268,23997
01/13/15 08:00,1.1827,1.18511,1.1793,1.18073,47896
01/13/15 12:00,1.18072,1.18101,1.17658,1.17687,51965
01/13/15 16:00,1.17687,1.17987,1.17518,1.17835,58723
01/13/15 20:00,1.17835,1.17871,1.17577,1.17712,28560
01/14/15 00:00,1.17712,1.17812,1.17631,1.17725,19174
01/14/15 04:00,1.17726,1.17935,1.17666,1.17906,23927
01/14/15 08:00,1.17906,1.18101,1.17262,1.17434,73261
01/14/15 12:00,1.17434,1.18453,1.17365,1.18242,70146
01/14/15 16:00,1.18242,1.18387,1.17703,1.17866,69257
01/14/15 20:00,1.17867,1.17916,1.1774,1.17864,23813
01/15/15 00:00,1.17883,1.17918,1.17713,1.17739,17580
01/15/15 04:00,1.1774,1.17864,1.17638,1.17665,16763
01/15/15 08:00,1.17665,1.17852,1.15656,1.1722,73044
01/15/15 12:00,1.17219,1.17726,1.16652,1.16979,172518
01/15/15 16:00,1.16979,1.1703,1.15666,1.15998,140479
01/15/15 20:00,1.15998,1.16346,1.1597,1.16284,54950
01/16/15 00:00,1.16287,1.16384,1.15986,1.16258,40968
01/16/15 04:00,1.16259,1.16452,1.16242,1.16281,38527
01/16/15 08:00,1.16281,1.16476,1.16105,1.16278,70863
01/16/15 12:00,1.1628,1.16341,1.15729,1.15833,78665
01/16/15 16:00,1.15831,1.15848,1.14582,1.15464,111284
01/16/15 20:00,1.15464,1.15881,1.15303,1.15647,46980
01/19/15 00:00,1.15494,1.1573,1.15494,1.15693,23919
01/19/15 04:00,1.15692,1.15727,1.15519,1.15601,22453
01/19/15 08:00,1.156,1.16272,1.15501,1.16149,64685
01/19/15 12:00,1.1615,1.16223,1.15841,1.16095,55609
01/19/15 16:00,1.16095,1.16378,1.15991,1.16073,47897
01/19/15 20:00,1.16072,1.16155,1.15994,1.16,28245
01/20/15 00:00,1.16,1.16076,1.15716,1.15875,22889
01/20/15 04:00,1.15876,1.15885,1.15735,1.1583,20256
01/20/15 08:00,1.1583,1.16082,1.15668,1.16042,48782
01/20/15 12:00,1.16041,1.16138,1.1568,1.16029,51428
01/20/15 16:00,1.16029,1.16029,1.15427,1.15464,52119
01/20/15 20:00,1.15463,1.1556,1.15392,1.15462,21853
01/21/15 00:00,1.15467,1.15639,1.15402,1.15601,17949
01/21/15 04:00,1.15602,1.15744,1.15575,1.15735,21047
01/21/15 08:00,1.15737,1.15874,1.15458,1.15695,45309
01/21/15 12:00,1.15694,1.16359,1.15638,1.16315,49320
