1,Sell,1/17/10 0:00,1/18/10 0:00,0.73794,0.73525,$25.90,"$10,025.90"
2,Buy,1/21/10 0:00,1/22/10 0:00,0.72125,0.71305,-$83.00,"$9,942.90"
3,Buy,1/25/10 0:00,1/27/10 0:00,0.713,0.70735,-$57.50,"$9,885.40"
4,Buy,2/1/10 0:00,2/2/10 0:00,0.7032,0.70867,$53.70,"$9,939.10"
5,Sell,2/3/10 0:00,2/4/10 0:00,0.71314,0.69845,$145.90,"$10,085.00"
6,Buy,2/4/10 0:00,2/5/10 0:00,0.69845,0.6884,-$101.50,"$9,983.50"
7,Sell,2/22/10 0:00,2/23/10 0:00,0.70001,0.70135,-$14.40,"$9,969.10"
8,Sell,2/24/10 0:00,2/26/10 0:00,0.69454,0.69046,$39.80,"$10,008.90"
9,Buy,2/26/10 0:00,2/28/10 0:00,0.69046,0.6978,$72.40,"$10,081.30"
10,Buy,3/5/10 0:00,3/7/10 0:00,0.6859,0.69688,$108.80,"$10,190.10"
11,Sell,3/12/10 0:00,3/14/10 0:00,0.6993,0.70099,-$17.90,"$10,172.20"
12,Sell,4/11/10 0:00,4/12/10 0:00,0.7152,0.7178,-$27.00,"$10,145.20"
13,Sell,4/14/10 0:00,4/15/10 0:00,0.70962,0.71541,-$58.90,"$10,086.30"
14,Sell,4/18/10 0:00,4/23/10 0:00,0.70854,0.709,-$5.60,"$10,080.70"
15,Sell,4/25/10 0:00,4/26/10 0:00,0.71602,0.7166,-$6.80,"$10,073.90"
16,Buy,5/7/10 0:00,5/10/10 0:00,0.71407,0.71645,$22.80,"$10,096.70"
17,Sell,5/11/10 0:00,5/12/10 0:00,0.71915,0.71763,$14.20,"$10,110.90"
18,Sell,6/6/10 0:00,6/7/10 0:00,0.66956,0.66714,$23.20,"$10,134.10"
19,Buy,6/9/10 0:00,6/10/10 0:00,0.66425,0.67334,$89.90,"$10,224.00"
20,Buy,7/4/10 0:00,7/7/10 0:00,0.68908,0.69438,$52.00,"$10,276.00"
21,Buy,7/20/10 0:00,7/21/10 0:00,0.70565,0.71823,$124.80,"$10,400.80"
22,Sell,8/8/10 0:00,8/9/10 0:00,0.73237,0.73055,$17.20,"$10,418.00"
23,Buy,8/20/10 0:00,8/22/10 0:00,0.7054,0.70695,$14.50,"$10,432.50"
24,Sell,8/30/10 0:00,8/31/10 0:00,0.71165,0.70259,$89.60,"$10,522.10"
25,Sell,9/27/10 0:00,9/28/10 0:00,0.73552,0.73271,$27.10,"$10,549.20"
26,Buy,10/20/10 0:00,10/21/10 0:00,0.74307,0.75362,$104.50,"$10,653.70"
27,Sell,10/31/10 0:00,11/1/10 0:00,0.76198,0.76575,-$38.70,"$10,615.00"
28,Buy,11/18/10 0:00,11/19/10 0:00,0.77126,0.77944,$80.80,"$10,695.80"
29,Buy,11/24/10 0:00,11/28/10 0:00,0.76016,0.75005,-$102.10,"$10,593.70"
30,Buy,11/29/10 0:00,11/30/10 0:00,0.75078,0.74418,-$67.00,"$10,526.70"
31,Sell,12/6/10 0:00,12/9/10 0:00,0.76498,0.74686,$180.20,"$10,706.90"
32,Sell,12/10/10 0:00,12/12/10 0:00,0.74876,0.74799,$6.70,"$10,713.60"
33,Sell,12/14/10 0:00,12/16/10 0:00,0.75145,0.74011,$112.40,"$10,826.00"
34,Buy,12/21/10 0:00,12/24/10 0:00,0.74031,0.74808,$76.70,"$10,902.70"
35,Buy,1/10/11 0:00,1/11/11 0:00,0.75895,0.76306,$40.10,"$10,942.80"
36,Buy,1/12/11 0:00,1/13/11 0:00,0.7589,0.76207,$30.70,"$10,973.50"
37,Buy,1/21/11 0:00,1/25/11 0:00,0.75487,0.76415,$91.80,"$11,065.30"
38,Sell,2/6/11 0:00,2/8/11 0:00,0.76815,0.77228,-$42.30,"$11,023.00"
39,Sell,2/10/11 0:00,2/11/11 0:00,0.77121,0.7615,$96.10,"$11,119.10"
40,Buy,2/11/11 0:00,2/16/11 0:00,0.7615,0.75184,-$97.60,"$11,021.50"
41,Buy,2/17/11 0:00,2/18/11 0:00,0.7552,0.75865,$33.50,"$11,055.00"
42,Buy,2/23/11 0:00,2/25/11 0:00,0.74767,0.7509,$31.30,"$11,086.30"
43,Buy,3/17/11 0:00,3/20/11 0:00,0.72178,0.731,$91.20,"$11,177.50"
44,Sell,4/28/11 0:00,4/29/11 0:00,0.80274,0.80336,-$7.20,"$11,170.30"
45,Buy,5/6/11 0:00,5/9/11 0:00,0.78747,0.79156,$39.90,"$11,210.20"
46,Buy,5/12/11 0:00,5/13/11 0:00,0.78903,0.79368,$45.50,"$11,255.70"
47,Buy,5/15/11 0:00,5/18/11 0:00,0.78712,0.78549,-$17.30,"$11,238.40"
48,Sell,5/22/11 0:00,5/26/11 0:00,0.79704,0.79665,$2.90,"$11,241.30"
49,Sell,6/10/11 0:00,6/12/11 0:00,0.82606,0.82113,$48.30,"$11,289.60"
50,Buy,6/17/11 0:00,6/19/11 0:00,0.80543,0.8118,$62.70,"$11,352.30"
51,Buy,6/27/11 0:00,6/28/11 0:00,0.80262,0.80426,$15.40,"$11,367.70"
52,Sell,8/21/11 0:00,8/22/11 0:00,0.8182,0.81745,$6.50,"$11,374.20"
53,Sell,9/6/11 0:00,9/7/11 0:00,0.8282,0.82458,$35.20,"$11,409.40"
54,Buy,9/8/11 0:00,9/9/11 0:00,0.83354,0.83331,-$3.30,"$11,406.10"
55,Buy,9/14/11 0:00,9/15/11 0:00,0.8236,0.81856,-$51.40,"$11,354.70"
56,Buy,9/16/11 0:00,9/18/11 0:00,0.82286,0.82863,$56.70,"$11,411.40"
57,Buy,9/20/11 0:00,9/21/11 0:00,0.82011,0.82159,$13.80,"$11,425.20"
58,Buy,11/13/11 0:00,11/14/11 0:00,0.78577,0.79039,$45.20,"$11,470.40"
59,Buy,11/15/11 0:00,11/16/11 0:00,0.77735,0.76884,-$86.10,"$11,384.30"
60,Buy,11/23/11 0:00,11/24/11 0:00,0.74836,0.73922,-$92.40,"$11,291.90"
61,Buy,12/18/11 0:00,12/19/11 0:00,0.76072,0.76143,$6.10,"$11,298.00"
62,Buy,12/20/11 0:00,12/21/11 0:00,0.75645,0.76792,$113.70,"$11,411.70"
63,Sell,12/21/11 0:00,12/22/11 0:00,0.76792,0.76795,-$1.30,"$11,410.40"
64,Sell,1/16/12 0:00,1/17/12 0:00,0.793,0.79394,-$10.40,"$11,400.00"
65,Sell,2/21/12 0:00,2/22/12 0:00,0.83719,0.83509,$20.00,"$11,420.00"
66,Sell,2/29/12 0:00,3/2/12 0:00,0.84013,0.8385,$15.30,"$11,435.30"
67,Buy,3/4/12 0:00,3/7/12 0:00,0.82866,0.81331,-$154.50,"$11,280.80"
68,Buy,3/9/12 0:00,3/14/12 0:00,0.82381,0.82155,-$23.60,"$11,257.20"
69,Buy,3/15/12 0:00,3/16/12 0:00,0.80764,0.81875,$110.10,"$11,367.30"
70,Buy,3/23/12 0:00,3/25/12 0:00,0.81079,0.81754,$66.50,"$11,433.80"
71,Sell,4/4/12 0:00,4/11/12 0:00,0.81639,0.81394,$23.50,"$11,457.30"
72,Sell,4/12/12 0:00,4/13/12 0:00,0.81903,0.83084,-$119.10,"$11,338.20"
73,Sell,4/15/12 0:00,4/17/12 0:00,0.82208,0.81916,$28.20,"$11,366.40"
74,Buy,4/20/12 0:00,4/22/12 0:00,0.81435,0.81797,$35.20,"$11,401.60"
75,Sell,4/29/12 0:00,5/2/12 0:00,0.82111,0.81487,$61.40,"$11,463.00"
76,Buy,5/3/12 0:00,5/6/12 0:00,0.80664,0.79504,-$117.00,"$11,346.00"
77,Buy,5/8/12 0:00,5/9/12 0:00,0.79685,0.7854,-$115.50,"$11,230.50"
78,Buy,5/15/12 0:00,5/16/12 0:00,0.77698,0.76951,-$75.70,"$11,154.80"
79,Buy,5/17/12 0:00,5/20/12 0:00,0.76614,0.75565,-$105.90,"$11,048.90"
80,Buy,5/21/12 0:00,5/22/12 0:00,0.75772,0.7669,$90.80,"$11,139.70"
81,Sell,7/22/12 0:00,7/24/12 0:00,0.79904,0.78903,$99.10,"$11,238.80"
82,Buy,7/24/12 0:00,7/26/12 0:00,0.78903,0.78953,$4.00,"$11,242.80"
83,Sell,8/1/12 0:00,8/2/12 0:00,0.80878,0.80958,-$9.00,"$11,233.80"
84,Buy,8/30/12 0:00,9/2/12 0:00,0.8008,0.80273,$18.30,"$11,252.10"
